github.event.changes.new_discussion.answer_chosen_by.repos_url,structured
github.event.changes.new_discussion.answer_chosen_by.site_admin,fixed
github.event.changes.new_discussion.answer_chosen_by.starred_url,structured
github.event.changes.new_discussion.answer_chosen_by.subscriptions_url,structured
github.event.changes.new_discussion.answer_chosen_by.type,fixed
github.event.changes.new_discussion.answer_chosen_by.url,structured
github.event.changes.new_discussion.answer_chosen_by.user_view_type,arbitrary
github.event.changes.new_discussion.answer_html_url,arbitrary
github.event.changes.new_discussion.author_association,fixed
github.event.changes.new_discussion.body,arbitrary
github.event.changes.new_discussion.category.created_at,fixed
github.event.changes.new_discussion.category.description,arbitrary
github.event.changes.new_discussion.category.emoji,arbitrary
github.event.changes.new_discussion.category.id,fixed
github.event.changes.new_discussion.category.is_answerable,fixed
github.event.changes.new_discussion.category.name,arbitrary
github.event.changes.new_discussion.category.node_id,arbitrary
github.event.changes.new_discussion.category.repository_id,fixed
github.event.changes.new_discussion.category.slug,arbitrary
github.event.changes.new_discussion.category.updated_at,arbitrary
github.event.changes.new_discussion.comments,fixed
github.event.changes.new_discussion.created_at,fixed
github.event.changes.new_discussion.html_url,arbitrary
github.event.changes.new_discussion.id,fixed
github.event.changes.new_discussion.labels.*.color,arbitrary
github.event.changes.new_discussion.labels.*.default,fixed
github.event.changes.new_discussion.labels.*.description,arbitrary
github.event.changes.new_discussion.labels.*.id,fixed
github.event.changes.new_discussion.labels.*.name,arbitrary
github.event.changes.new_discussion.labels.*.node_id,arbitrary
github.event.changes.new_discussion.labels.*.url,structured
github.event.changes.new_discussion.locked,fixed
github.event.changes.new_discussion.node_id,arbitrary
github.event.changes.new_discussion.number,fixed
github.event.changes.new_discussion.reactions.+1,fixed
github.event.changes.new_discussion.reactions.-1,fixed
github.event.changes.new_discussion.reactions.confused,fixed
github.event.changes.new_discussion.reactions.eyes,fixed
github.event.changes.new_discussion.reactions.heart,fixed
github.event.changes.new_discussion.reactions.hooray,fixed
github.event.changes.new_discussion.reactions.laugh,fixed
github.event.changes.new_discussion.reactions.rocket,fixed
github.event.changes.new_discussion.reactions.total_count,fixed
github.event.changes.new_discussion.reactions.url,structured
github.event.changes.new_discussion.repository_url,arbitrary
github.event.changes.new_discussion.state,fixed
github.event.changes.new_discussion.state_reason,fixed
github.event.changes.new_discussion.timeline_url,arbitrary
